x,y
953824,1952448
957213,1952717
954017,1953073
957879,1953002
955958,1954112
956036,1953093
957236,1952432
954027,1952444
954770,1952433
955145,1952467
955590,1952481
956691,1952557
956201,1952521
956768,1950696
953424,1950867
956378,1951200
953207,1951251
953605,1951329
954021,1951754
953791,1951772
957241,1952340
954734,1951997
957261,1951879
954171,1951520
954252,1951330
952435,1947141
956468,1948352
952852,1948871
954885,1948442
955382,1948479
955704,1948534
957992,1949611
959006,1949509
958089,1949971
959743,1950164
958028,1950786
959725,1950365
959039,1951688
960672,1951848
958935,1951425
959897,1952172
958191,1952467
958521,1952341
959180,1952580
959067,1951950
958826,1951094
961232,1948731
963211,1948652
964147,1949049
965027,1949607
963848,1949564
963369,1949596
963639,1950563
963862,1950142
962343,1951204
962773,1950749
962133,1950708
961810,1949980
962385,1949848
961494,1949284
962105,1949132
964299,1949170
961834,1949152
962237,1952623
958945,1953300
958570,1952809
959197,1952778
960583,1953882
959250,1954231
960400,1954113
961787,1954768
961564,1955091
960797,1954599
960627,1954416
959911,1953573
961899,1953344
959231,1953305
959478,1953433
962907,1952578
963555,1954500
962665,1955074
962935,1954833
962921,1954243
963653,1953566
963238,1953605
962868,1953629
962878,1955892
964720,1955676
964439,1955620
964077,1955501
962930,1955144
957447,1954392
957029,1954835
958912,1955598
957300,1954875
957460,1955018
958307,1956425
961221,1957137
958545,1956724
959238,1955975
958716,1956101
958111,1956157
958560,1957235
958518,1957580
957497,1958479
958194,1958627
957477,1958738
958322,1958135
957431,1959517
958058,1959045
957752,1957876
957876,1960538
958100,1959968
958260,1960134
957996,1959557
958794,1959652
957945,1959760
959474,1960319
958179,1960989
958938,1961090
960002,1961403
959369,1962002
958963,1962663
959182,1962685
959803,1963628
959924,1965686
960110,1962653
959514,1962689
960591,1961580
960399,1961565
959086,1961421
962812,1957794
961907,1959684
960775,1961605
961084,1962495
960918,1960754
961527,1960755
947927,1954073
948261,1954963
948542,1954685
950156,1955887
948715,1955776
949778,1956777
949426,1956780
947971,1956373
948426,1955679
948832,1957901
948096,1957294
949344,1957416
948561,1957023
949616,1957026
950141,1950842
949799,1951003
951953,1951039
949930,1951433
949388,1951215
950780,1951198
952343,1952691
951916,1953183
950210,1953755
950215,1954446
950986,1954459
950712,1954807
950919,1954886
947872,1953343
948923,1952073
951183,1949182
951504,1949564
948156,1950129
950235,1950785
948622,1950528
949126,1951030
948914,1950792
946450,1952210
948049,1951927
948858,1950307
941508,1947072
943823,1947617
940664,1948709
944856,1948061
941036,1948037
942344,1948101
942718,1950708
942194,1948441
947166,1942970
947039,1942774
943063,1943798
946733,1943262
945720,1943020
944927,1945342
943849,1944483
944468,1944586
943069,1944030
945990,1944182
947693,1939268
947193,1937873
946975,1939684
946886,1939995
947086,1939308
946324,1939379
946496,1940984
947069,1940970
946746,1941329
946795,1941530
946341,1942341
946817,1942006
944859,1943112
946051,1942412
946744,1940464
949498,1946556
947566,1946539
946076,1947184
946598,1947083
946714,1947792
946804,1948688
947878,1947511
948519,1947089
947410,1946915
948065,1946739
954181,1943031
947525,1943436
951598,1944396
951777,1944166
951184,1945040
953647,1945104
951910,1946149
950439,1945227
954013,1944870
949446,1944564
949942,1941520
954602,1941103
949600,1942720
947323,1942489
950217,1942111
948151,1943252
949593,1942961
950062,1941834
949464,1943382
959331,1941124
958403,1942846
957070,1943326
956819,1942860
959568,1940783
959052,1940354
957951,1944292
958200,1944396
954475,1944635
956175,1945313
956594,1945443
957816,1945076
955923,1945202
956488,1943743
964809,1943189
959412,1943779
963048,1943376
961989,1944229
959927,1943989
959579,1944933
959072,1944737
958468,1944487
961137,1946218
960525,1946068
959227,1945583
958309,1946789
958810,1947009
957551,1946457
959435,1946520
958808,1947883
959281,1947192
960011,1947326
960362,1945012
958013,1945135
966997,1941362
967030,1941908
965455,1943460
966156,1942307
968566,1943827
966305,1944624
963142,1945848
963369,1945833
963603,1945098
964645,1946062
966067,1946412
965756,1946540
966192,1947426
965476,1946240
963989,1944957
966287,1943770
968539,1950221
966739,1948910
967685,1948499
968014,1948375
1139355,1679121
1139122,1679086
1138976,1679324
1139536,1679205
